Date,Adj Close,Close,High,Low,Open,Volume,SMA20,EMA20,RSI,MACD,BB_High,BB_Low,Target
2025-09-05,239.0137939453125,239.69000244140625,241.32000732421875,238.49000549316406,240.0,54870400,231.16599884033204,229.5901427173335,70.86019019047009,5.589139479242874,239.31442333403243,223.01757434663165,0
2025-09-08,237.2089080810547,237.8800048828125,240.14999389648438,236.33999633789062,239.3000030517578,48999500,231.59249877929688,230.37965339976006,66.86977513889713,5.567088549436335,240.19628994607024,222.9887076125235,0
2025-09-09,233.68887329101562,234.35000610351562,238.77999877929688,233.36000061035156,237.0,66313900,231.95099945068358,230.75778222868917,59.797195859186935,5.2047742311604,240.38532567284386,223.5166732285233,0
2025-09-10,226.15020751953125,226.7899932861328,232.4199981689453,225.9499969482422,232.19000244140625,83440800,231.80799942016603,230.37989756749332,48.07085599494859,4.258518124786491,240.48695871266898,223.12904012766307,1
2025-09-11,229.3810577392578,230.02999877929688,230.4499969482422,226.64999389648438,226.8800048828125,50208600,231.64299926757812,230.34657387337938,52.38080021707645,3.727081236058922,240.32541789302707,222.96058064212917,1
2025-09-12,233.40966796875,234.07000732421875,234.50999450683594,229.02000427246094,229.22000122070312,55824200,231.7074996948242,230.70118658298313,57.15580384053229,3.5905193269805693,240.44175822148537,222.97324116816304,1
2025-09-15,236.03224182128906,236.6999969482422,238.19000244140625,235.02999877929688,237.0,42699500,231.9629997253418,231.27250185586493,59.96987450504854,3.6524085211919157,240.9634661191169,222.9625333315667,1
2025-09-16,237.4781494140625,238.14999389648438,241.22000122070312,236.32000732421875,237.17999267578125,63421100,232.32599945068358,231.9275010978287,61.472369508261465,3.7749435892093857,241.7018638659657,222.95013503540147,1
2025-09-17,238.3157958984375,238.99000549316406,240.10000610351562,237.72999572753906,238.97000122070312,46508000,232.74749984741212,232.6001205640511,62.35392303539507,3.8949370195655035,242.51756770624783,222.9774319885764,0
2025-09-18,237.2089080810547,237.8800048828125,241.1999969482422,236.64999389648438,239.97000122070312,44249600,233.34100036621095,233.10296668964745,60.38763547622742,3.8560151625279673,242.84020983057275,223.84179090184915,1
2025-09-19,244.80740356445312,245.5,246.3000030517578,240.2100067138672,241.22999572753906,163741300,234.37100067138672,234.28363652872864,67.87658797322256,4.3894404957069355,244.43626342541737,224.30573791735608,1
2025-09-22,255.35755920410156,256.0799865722656,256.6400146484375,248.1199951171875,248.3000030517578,105517400,235.7870002746582,236.35947939001787,74.95615150670295,5.601331745464279,249.15877009279313,222.41523045652326,0
2025-09-23,253.71221923828125,254.42999267578125,257.3399963378906,253.5800018310547,255.8800048828125,60275200,237.1504997253418,238.08048065532867,72.2807476066201,6.355362906717403,252.1836272803188,222.1173721703648,0
2025-09-24,251.59820556640625,252.30999755859375,255.74000549316406,251.0399932861328,255.22000122070312,42303700,238.3004997253418,239.43567274135393,68.87896994016768,6.7045858538299115,254.24955311888613,222.3514463317975,1
2025-09-25,256.1453552246094,256.8699951171875,257.1700134277344,251.7100067138672,253.2100067138672,55202100,239.61949920654297,241.0960843961952,71.93820704800197,7.26554852813544,257.0601910912095,222.17880732187643,0
2025-09-26,254.73931884765625,255.4600067138672,257.6000061035156,253.77999877929688,254.10000610351562,46076300,240.76449966430664,242.46407699787827,69.65804317923994,7.5097732176753595,259.1805429998659,222.34845632874735,0
2025-09-29,253.71221923828125,254.42999267578125,255.0,253.00999450683594,254.55999755859375,40127700,241.87899932861328,243.60368801482142,67.96334073832529,7.533369524474125,260.7643098365731,222.9936888206535,1
2025-09-30,253.9116668701172,254.6300048828125,255.9199981689453,253.11000061035156,254.86000061035156,37704300,243.12449951171874,244.65381343082058,68.1255081170549,7.481961684213871,261.9234157487949,224.32558327464255,1
